text,translation
"['S’i’ fosse foco, arderéi ’l mondo;']","['Se fossi fuoco, brucerei il mondo;']"
"['s’ i’ fosse vento, lo tempestarei;']","['se fossi vento, lo tempesterei;']"
"['s’i’ fosse acqua, i’ l’annegherei;']",['se fossi acqua lo annegherei;']
"['s’i’ fosse Dio, mandereil’en profondo;']","['se fossi Dio, lo sprofonderei;']"
"['s’i’ fosse papa, allor serei giocondo,']","['se fossi papa, allora sarei felice,']"
['ché tutti cristïani imbrigarei;'],['perché metterei nei guai tutti i cristiani;']
"['s’i’ fosse ’mperator, ben lo farei:']","['se fossi imperatore, farei bene questo:']"
['a tutti tagliarei lo capo a tondo.'],['A tutti attorno taglierei il capo.']
"['S’i fosse morte, andarei a mi’ padre;']","['Se fossi la morte, andrei da mio padre;']"
"['s’i’ fosse vita, non starei con lui:']","['se fossi la vita, non starei con lui:']"
['similemente farìa da mi’ madre.'],['lo stesso farei con mia madre.']
"['S’i’ fosse Cecco, com’i’ sono e fui,']","['Se fossi Cecco, come sono e fui,']"
['torrei le donne giovani e leggiadre:'],['prenderei le donne giovani e belle:']
['le zoppe e vecchie lasserei altrui.'],['quelle zoppe e vecchie le lascerei agli altri.']
