text,translation
['Meravigliosamente un amor mi distringe e mi tene ad ogn’ora.'],['Meravigliosamente un amore mi stringe e mi tiene sempre.']
"['Com’om che pone mente in altro exemplo pinge la simile pintura,']","['Come uno che guarda attentamente un modello dipinge una pittura simile,']"
"['così, bella, facc’eo, che ’nfra lo core meo porto la tua figura.']","['così, bella, faccio io, che dentro il mio cuore ho la tua immagine.']"
"['In cor par ch’eo vi porti, pinta come parete, e non pare difore.']","['Pare che io vi porti nel cuore, dipinta come apparite, e non appare di fuori.']"
"['O Deo, co’ mi par forte non so se lo sapete, con’ v’amo di bon core;']","['Oddio, come mi sembra difficile non so se lo sapete quanto vi amo']"
['ch’eo son sì vergognoso ca pur vi guardo ascoso e non vi mostro amore.'],['che io sono così vergognoso che vi guardo sempre di nascosto e non vi mostro amore.']
"['Avendo gran disio dipinsi una pintura, bella, voi simigliante,']","['Avendo grande desiderio dipinsi una pittura, bella, a voi somigliante,']"
"['e quando voi non vio guardo ’n quella figura, par ch’eo v’aggia davante:']",['e quando non vi vedo guardo quella immagine e mi sembra di avervi davanti a me']
"['come quello che crede salvarsi per sua fede, ancor non veggia inante.']",['come colui che crede di salvarsi grazie alla sua fede anche se non vede il futuro.']
"['Al cor m’ard’una doglia, com’ om che ten lo foco a lo suo seno ascoso,']","['Nel cuore mi arde un dolore, come uno che tiene un fuoco nascosto nel petto']"
"['e quando più lo ’nvoglia, allora arde più loco e non pò star incluso:']","['quanto più lo copre, allora lì arde di più e non può stare rinchiuso:']"
"['similemente eo ardo quando pass’e non guardo a voi, vis’amoroso.']",['nello stesso modo io ardo quando passo e non vi guardo viso pieno di amore.']
"['S’eo guardo, quando passo, inver’ voi no mi giro, bella, per risguardare;']","['Se vi guardo, quando passo non mi volto verso di voi bella, per guardarvi di nuovo']"
"['andando, ad ogni passo getto uno gran sospiro ca facemi ancosciare;']","['andando, ad ogni passo emetto un gran sospiro che mi fa angosciare']"
"['e certo bene ancoscio, c’a pena mi conoscio, tanto bella mi pare.']",['e tanto mi angoscio che a fatica mi riconosco tanto bella mi appari.']
"['Assai v’aggio laudato, madonna, in tutte parti, di bellezze c’avete.']","['Molto vi ho lodato, o donna mia, in tutte le vostre bellezze.']"
"['Non so se v’è contato ch’eo lo faccia per arti, che voi pur v’ascondete:']",['Non so se vi hanno raccontato che io lo faccio con astuzia che voi sempre vi nascondete']
"['sacciatelo per singa zo ch’eo no dico a linga, quando voi mi vedite.']",['sappiate attraverso i segni ciò che non dico con la lingua quando mi vedete.']
"['Canzonetta novella, va’ canta nova cosa;']","['Canzonetta nuova, vai canta questa nuova cosa;']"
"['lèvati da maitino davanti a la più bella,']",['alzati al mattino davanti alla più bella']
"['fiore d’ogn’amorosa, bionda più c’auro fino:']","['fiore di ogni amorosa, bionda più che l’oro fino']"
"['«Lo vostro amor, ch’è caro, donatelo al Notaro ch’è nato da Lentino».']","['«Il vostro amore, che è prezioso, donatelo al Notaio che è nato da Lentino».']"
